50/50 H2O/SiO2 EOS table for planetary interior model (WITH phase equilibrium), 51 temps, 147 densities
***UvA version, Allona Vazan***  June 2018 ***
units:    1 keV = 1.1605e+7 Kelvin; 1 jrk = 1.e+16 erg
          1 jrk/cc = 1.e+4 Mbar

 lgT(Kev)  lgro          log P(jrk/cc)              u(jrk/g)                 s(jrk/g-keV)
-5.90    -0.20    -2.100376699435384E+01     3.281384222127144E-05     1.395000689115721E-05
-5.90    -0.10    -2.100376699435384E+01     3.281384222127112E-05     1.395000688157116E-05
-5.90     0.00    -2.100376699435384E+01     3.281384222127086E-05     1.395000687395670E-05
-5.90     0.10    -1.333914205811828E+01     3.286478337268600E-05     1.257088360079149E-05
-5.90     0.20    -1.300762149377650E+01     3.364243591661055E-05     1.103970479782125E-05
-5.90     0.30    -1.279074741879643E+01     3.561526869579419E-05     1.000491251452104E-05
-5.90     0.40    -1.261298035892571E+01     3.942360958837916E-05     9.221503175689752E-06
-5.90     0.50    -4.229155241005085E+00     4.609171740965431E-05     7.704038002237553E-06
-5.90     0.60    -3.788500954170867E+00     5.744504716250324E-05     6.478355511041361E-06
-5.90     0.70    -3.444639384729178E+00     7.545391639842819E-05     5.542743194469911E-06
-5.90     0.80    -3.142127156281185E+00     1.026564780900804E-04     4.777881356445791E-06
-5.90     0.90    -2.864565717114854E+00     1.422638558633095E-04     4.131531121235201E-06
-5.90     1.00    -2.604407473093701E+00     1.982890112428990E-04     3.576849688642807E-06
-5.90     1.10    -2.357369691006597E+00     2.756974046083024E-04     3.097313243967878E-06
-5.90     1.20    -2.120701739241504E+00     3.805805077913337E-04     2.681607683623884E-06
